customer_id,purchase_date,product_category,product_brand,product_name,price,quantity,cart_abandonment
1,2023-01-05,Electronics,Samsung,Smartphone A,499.99,1,0
2,2023-01-10,Clothing,Nike,Running Shoes,89.99,2,1
3,2023-01-15,Home and Kitchen,Keurig,Coffee Maker,129.99,1,0
4,2023-01-20,Electronics,Apple,Tablet B,799.99,1,0
5,2023-01-25,Beauty,L'Oreal,Skincare Set,49.99,3,1
6,2023-02-01,Clothing,Adidas,Sportswear Bundle,149.99,1,0
7,2023-02-05,Home and Kitchen,Hamilton Beach,Blender,39.99,2,1
8,2023-02-10,Electronics,Sony,Headphones,79.99,1,0
9,2023-02-15,Beauty,Maybelline,Makeup Kit,29.99,1,0
10,2023-02-20,Sports and Outdoors,Under Armour,Running Gear Set,199.99,1,1
11,2023-03-01,Electronics,Microsoft,Laptop C,999.99,1,0
12,2023-03-05,Clothing,Puma,Track Pants,34.99,3,1
13,2023-03-10,Home and Kitchen,Cuisinart,Toaster,49.99,1,0
14,2023-03-15,Electronics,Google,Smart Speaker,79.99,1,0
15,2023-03-20,Beauty,Revlon,Hair Care Set,19.99,2,1
16,2023-04-01,Clothing,Reebok,Training Shoes,69.99,1,0
17,2023-04-05,Sports and Outdoors,North Face,Hiking Gear,129.99,1,0
18,2023-04-10,Electronics,HP,Printer,89.99,1,1
19,2023-04-15,Beauty,Neutrogena,Skincare Bundle,39.99,2,0
20,2023-04-20,Clothing,New Balance,Running Shorts,24.99,3,1
21,2023-05-01,Home and Kitchen,Black & Decker,Coffee Grinder,19.99,1,0
22,2023-05-05,Sports and Outdoors,Adidas,Outdoor Jacket,79.99,1,0
23,2023-05-10,Electronics,Lenovo,Monitor,149.99,1,1
24,2023-05-15,Clothing,Converse,Casual Shoes,54.99,2,0
25,2023-05-20,Beauty,Olay,Anti-Aging Cream,29.99,1,0
26,2023-06-01,Sports and Outdoors,Nike,Basketball,29.99,1,1
27,2023-06-05,Electronics,Dell,Keyboard,19.99,2,0
28,2023-06-10,Home and Kitchen,KitchenAid,Mixer,199.99,1,0
29,2023-06-15,Clothing,Levi's,Jeans,59.99,1,1
30,2023-06-20,Beauty,Covergirl,Makeup Brushes Set,14.99,3,0
